Country,Region
Burundi,Eastern Africa,
Comoros,Eastern Africa,
Djibouti,Eastern Africa,
Eritrea,Eastern Africa,
Ethiopia,Eastern Africa,
Kenya,Eastern Africa,
Madagascar,Eastern Africa,
Malawi,Eastern Africa,
Mauritius,Eastern Africa,
Mayotte,Eastern Africa,
Mozambique,Eastern Africa,
Reunion,Eastern Africa,
Rwanda,Eastern Africa,
Seychelles,Eastern Africa,
Somalia,Eastern Africa,
Tanzania,Eastern Africa,
Uganda,Eastern Africa,
Zambia,Eastern Africa,
Zimbabwe,Eastern Africa,
Angola,Middle Africa,
Cameroon,Middle Africa,
Central African Republic,Middle Africa,
Chad,Middle Africa,
Congo (Brazzaville),Middle Africa,
democratic republic of congo,Middle Africa,
Equatorial Guinea,Middle Africa,
Gabon,Middle Africa,
Sao Tome and Principe,Middle Africa,
Algeria,Northern Africa,
Egypt,Northern Africa,
Libya,Northern Africa,
Morocco,Northern Africa,
South Sudan,Northern Africa,
Sudan,Northern Africa,
Tunisia,Northern Africa,
Western Sahara,Northern Africa,
Botswana,Southern Africa,
Lesotho,Southern Africa,
Namibia,Southern Africa,
South Africa,Southern Africa,
Swaziland,Southern Africa,
Benin,Western Africa,
Burkina Faso,Western Africa,
Cape Verde,Western Africa,
Cote d'Ivoire (Ivory Coast),Western Africa,
Gambia,Western Africa,
Ghana,Western Africa,
Guinea,Western Africa,
Guinea-Bissau,Western Africa,
Liberia,Western Africa,
Mali,Western Africa,
Mauritania,Western Africa,
Niger,Western Africa,
Nigeria,Western Africa,
Saint Helena,Western Africa,
Senegal,Western Africa,
Sierra Leone,Western Africa,
Togo,Western Africa,
Anguilla,The Caribbean,
Antigua and Barbuda,The Caribbean,
Aruba,The Caribbean,
The Bahamas,The Caribbean,
Barbados,The Caribbean,
"Bonaire, Saint Eustatius and Saba",The Caribbean,
British Virgin Islands,The Caribbean,
Cayman Islands,The Caribbean,
Cuba,The Caribbean,
Curaçao,The Caribbean,
Dominica,The Caribbean,
Dominican Republic,The Caribbean,
Grenada,The Caribbean,
Guadeloupe,The Caribbean,
Haiti,The Caribbean,
Jamaica,The Caribbean,
Martinique,The Caribbean,
Monserrat,The Caribbean,
Puerto Rico,The Caribbean,
Saint-Barthélemy,The Caribbean,
St. Kitts and Nevis,The Caribbean,
Saint Lucia,The Caribbean,
Saint Martin,The Caribbean,
Saint Vincent and the Grenadines,The Caribbean,
Sint Maarten,The Caribbean,
Trinidad and Tobago,The Caribbean,
Turks and Caicos Islands,The Caribbean,
Virgin Islands (US),The Caribbean,
Belize,Central America,
Costa Rica,Central America,
El Salvador,Central America,
Guatemala,Central America,
Honduras,Central America,
Mexico,Central America,
Nicaragua,Central America,
Panama,Central America,
Argentina,South America,
Bolivia,South America,
Brazil,South America,
Chile,South America,
Colombia,South America,
Ecuador,South America,
Falkland Islands (Malvinas),South America,
French Guiana,South America,
Guyana,South America,
Paraguay,South America,
Peru,South America,
Suriname,South America,
Uruguay,South America,
Venezuela,South America,
Bermuda,Bermuda,
Canada,Canada,
Greenland,Greenland,
Saint Pierre and Miquelon,Canada,
USA,USA,
Afghanistan,Middle East,
Armenia,Middle East,
Azerbaijan,Middle East,
Bangladesh,South Asia,
Bhutan,South Asia,
Brunei Darussalam,Southeast Asia,
Cambodia,Southeast Asia,
China,East Asia,
Republic Of Georgia,Middle East,
Hong Kong,East Asia,
India,South Asia,
Indonesia,Southeast Asia,
